,from_id,to_id,travel_time
0,0,railway_station,16
1,1,railway_station,18
2,2,railway_station,20
3,3,railway_station,22
4,4,railway_station,18
5,5,railway_station,12
6,6,railway_station,12
7,7,railway_station,15
8,8,railway_station,18
9,9,railway_station,22
10,10,railway_station,18
11,11,railway_station,20
12,12,railway_station,20
13,13,railway_station,11
14,14,railway_station,10
15,15,railway_station,14
16,16,railway_station,19
17,17,railway_station,20
18,18,railway_station,13
19,19,railway_station,16
20,20,railway_station,16
21,21,railway_station,17
22,22,railway_station,17
23,23,railway_station,13
24,24,railway_station,13
25,25,railway_station,13
26,26,railway_station,17
27,27,railway_station,15
28,28,railway_station,16
29,29,railway_station,11
30,30,railway_station,12
31,31,railway_station,12
32,32,railway_station,12
33,33,railway_station,13
34,34,railway_station,12
35,35,railway_station,13
36,36,railway_station,11
37,37,railway_station,6
38,38,railway_station,9
39,39,railway_station,14
40,40,railway_station,15
41,41,railway_station,20
42,42,railway_station,33
43,43,railway_station,22
44,44,railway_station,7
45,45,railway_station,11
46,46,railway_station,15
47,47,railway_station,16
48,48,railway_station,18
49,49,railway_station,19
50,50,railway_station,20
51,51,railway_station,10
52,52,railway_station,5
53,53,railway_station,10
54,54,railway_station,13
55,55,railway_station,14
56,56,railway_station,17
57,57,railway_station,17
58,58,railway_station,21
59,59,railway_station,11
60,60,railway_station,6
61,61,railway_station,3
62,62,railway_station,5
63,63,railway_station,10
64,64,railway_station,11
65,65,railway_station,14
66,66,railway_station,17
67,67,railway_station,20
68,68,railway_station,19
69,69,railway_station,8
70,70,railway_station,8
71,71,railway_station,13
72,72,railway_station,15
73,73,railway_station,14
74,74,railway_station,17
75,75,railway_station,20
76,76,railway_station,23
77,77,railway_station,15
78,78,railway_station,11
79,79,railway_station,12
80,80,railway_station,13
81,81,railway_station,18
82,82,railway_station,20
83,83,railway_station,20
84,84,railway_station,22
85,85,railway_station,18
86,86,railway_station,17
87,87,railway_station,16
88,88,railway_station,16
89,89,railway_station,18
90,90,railway_station,21
91,91,railway_station,23
